iter	Passed	Remaining
0	5	1735
1	11	1685
2	16	1672
3	22	1662
4	27	1645
5	33	1655
6	39	1655
7	45	1647
8	46	1511
9	49	1446
10	55	1456
11	60	1463
12	67	1481
13	73	1505
14	80	1529
15	86	1534
16	92	1536
17	98	1541
18	104	1545
19	110	1548
20	116	1548
21	120	1517
22	125	1516
23	132	1518
24	137	1513
25	143	1514
26	149	1513
27	156	1518
28	158	1482
29	164	1482
30	170	1483
31	177	1484
32	183	1483
33	189	1483
34	195	1480
35	201	1480
36	207	1477
37	214	1476
38	220	1473
39	226	1469
40	232	1466
41	238	1463
42	244	1460
43	250	1458
44	256	1454
45	262	1449
46	268	1446
47	274	1441
48	280	1436
49	286	1431
50	291	1425
51	298	1421
52	304	1416
53	310	1412
54	315	1406
55	321	1399
56	326	1392
57	332	1386
58	337	1380
59	343	1373
60	348	1367
61	354	1361
62	360	1356
63	366	1350
64	371	1343
65	377	1336
66	383	1334
67	390	1331
68	398	1334
69	404	1329
70	410	1324
71	416	1319
72	422	1313
73	428	1307
74	434	1304
75	440	1299
76	446	1293
77	452	1287
78	458	1281
79	464	1276
80	469	1269
81	475	1263
82	481	1258
83	487	1252
84	493	1247
85	498	1241
86	504	1236
87	510	1230
88	516	1225
89	522	1219
90	528	1212
91	533	1206
92	539	1200
93	544	1193
94	550	1188
95	556	1182
96	561	1176
97	567	1170
98	573	1164
99	579	1158
100	584	1152
101	590	1146
102	596	1140
103	601	1134
104	604	1123
105	610	1117
106	616	1111
107	622	1106
108	628	1100
109	635	1097
110	641	1092
111	647	1086
112	652	1079
113	658	1073
114	664	1068
115	669	1062
116	675	1056
117	681	1050
118	686	1044
119	692	1038
120	698	1032
121	703	1026
122	709	1020
123	714	1014
124	720	1008
125	726	1002
126	731	996
127	737	991
128	743	985
129	749	979
130	754	973
131	760	967
132	765	961
133	771	956
134	777	950
135	783	945
136	790	940
137	796	935
138	802	929
139	808	924
140	814	919
141	821	913
142	827	908
143	834	903
144	841	899
145	847	894
146	853	888
147	859	883
148	866	877
149	872	872
150	878	866
151	884	861
152	890	855
153	897	850
154	903	845
155	909	839
156	915	834
157	922	829
158	928	823
159	935	818
160	942	813
161	948	807
162	954	802
163	960	796
164	966	791
165	972	785
166	978	779
167	984	773
168	990	767
169	996	762
170	1002	756
171	1008	750
172	1013	744
173	1019	738
174	1027	733
175	1034	728
176	1042	724
177	1049	719
178	1060	716
179	1067	711
180	1073	705
181	1079	700
182	1086	694
183	1092	688
184	1098	682
185	1103	676
186	1109	670
187	1115	664
188	1121	658
189	1127	652
190	1133	646
191	1138	640
192	1144	634
193	1149	628
194	1154	621
195	1160	615
196	1166	609
197	1171	603
198	1177	597
199	1182	591
200	1188	585
201	1194	579
202	1199	573
203	1205	567
204	1211	561
205	1216	555
206	1222	549
207	1228	543
208	1234	537
209	1240	531
210	1246	525
211	1251	519
212	1257	513
213	1263	507
214	1268	501
215	1274	495
216	1280	489
217	1286	484
218	1293	478
219	1298	472
220	1304	466
221	1309	460
222	1315	454
223	1320	448
224	1326	442
225	1332	436
226	1338	430
227	1344	424
228	1349	418
229	1355	412
230	1361	406
231	1367	400
232	1372	394
233	1378	388
234	1384	382
235	1389	376
236	1395	370
237	1400	364
238	1406	358
239	1412	353
240	1418	347
241	1423	341
242	1429	335
243	1434	329
244	1440	323
245	1445	317
246	1451	311
247	1456	305
248	1462	299
249	1467	293
250	1473	287
251	1479	281
252	1485	275
253	1490	270
254	1496	264
255	1501	258
256	1507	252
257	1512	246
258	1518	240
259	1523	234
260	1529	228
261	1535	222
262	1540	216
263	1546	210
264	1551	204
265	1557	199
266	1563	193
267	1569	187
268	1574	181
269	1580	175
270	1586	169
271	1592	163
272	1598	158
273	1603	152
274	1609	146
275	1616	140
276	1621	134
277	1627	128
278	1633	122
279	1638	117
280	1644	111
281	1650	105
282	1656	99
283	1662	93
284	1667	87
285	1673	81
286	1679	76
287	1685	70
288	1692	64
289	1699	58
290	1705	52
291	1712	46
292	1718	41
293	1725	35
294	1731	29
295	1737	23
296	1743	17
297	1749	11
298	1755	5
299	1760	0
